poblacion,provincia,edad,genero,grupo_edad,vivienda,horario_laboral,experiencia_animales,tiempo_disponible,tipo_animal,devuelto,perfil_adoptante,apto,lat,lon,the_geom,display_name,geocode_resolution
San Fdo De Henares,madrid,47,Hombre,45–54,Piso,Jornada Parcial (Tarde),Media,2–5h,perro,no,Adulto experimentado,Sí,40.5248319,-3.7715628,POINT(-3.7715628 40.5248319),nan,province
Getafe,madrid,45,Hombre,45–54,Piso,Turno Rotativo,Alta,<1–2h,perro,no,Adulto experimentado,Sí,40.3070639,-3.7331808,POINT(-3.7331808 40.3070639),"Getafe, Comunidad de Madrid, España",locality
San Fdo De Henares,madrid,39,Hombre,35–44,Piso,Turno Rotativo,Media,2–5h,perro,no,Adulto experimentado,Sí,40.5248319,-3.7715628,POINT(-3.7715628 40.5248319),nan,province
Madrid,madrid,36,Hombre,35–44,Piso,Jornada Parcial (Manana),Baja,2–5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Madrid,madrid,39,Hombre,35–44,Piso,Jornada Completa,Alta,2–5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Toledo,toledo,41,Mujer,35–44,Casa/Chalet,Jornada Completa,Alta,2–5h,perro,no,Adulto experimentado,Sí,39.8560679,-4.0239568,POINT(-4.0239568 39.8560679),"Toledo, Castilla-La Mancha, España",locality
Corteconcepcion,huelva,32,Mujer,25–34,Vivienda compartida,Jornada Parcial (Tarde),Media,2–5h,perro,no,Adulto experimentado,Sí,37.8963289,-6.5073264,POINT(-6.5073264 37.8963289),"Corteconcepción, Sierra de Huelva, Huelva, Andalucía, 21209, España",locality
Cedillo Del Condado,toledo,30,Hombre,25–34,Casa/Chalet,Jornada Parcial (Manana),Baja,2–5h,perro,no,Adulto experimentado,Sí,40.1153734,-3.9257738,POINT(-3.9257738 40.1153734),"Cedillo del Condado, Toledo, Castilla-La Mancha, 45214, España",locality
Getafe,madrid,28,Mujer,25–34,Piso,Jornada Completa,Media,2–5h,perro,no,Joven urbano,Sí,40.3070639,-3.7331808,POINT(-3.7331808 40.3070639),"Getafe, Comunidad de Madrid, España",locality
Madrid,madrid,42,Hombre,35–44,Piso,Jornada Parcial (Tarde),Baja,2–5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Sotos,cuenca,26,Hombre,25–34,Piso,Jornada Completa,Baja,2–5h,perro,si,No apto,No,40.2035465,-2.1439235,POINT(-2.1439235 40.2035465),"Aeródromo de Sotos, Travesía de Villalba a Noheda, Sotos, Sotorribas, Castilla-La Mancha, 16143, España",locality
Barcelona,cataluna,28,Mujer,25–34,Casa/Chalet,Jornada Completa,Media,>5h,perro,no,Adulto experimentado,Sí,41.3825802,2.177073,POINT(2.177073 41.3825802),"Barcelona, Barcelonés, Barcelona, Cataluña, España",locality
Madrid,madrid,40,Hombre,35–44,Casa/Chalet,Jornada Completa,Media,<1–2h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Madrid,madrid,38,Mujer,35–44,Piso,Sin Empleo,Media,2–5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Madrid,madrid,32,Hombre,25–34,Piso,Jornada Parcial (Tarde),Baja,2–5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Madrid,madrid,58,Hombre,55–64,Atico,Jornada Completa,Baja,>5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Galapagar,madrid,45,Mujer,45–54,Piso,Jornada Completa,Media,2–5h,perro,no,Adulto experimentado,Sí,40.5774992,-4.0037748,POINT(-4.0037748 40.5774992),"Galapagar, Comunidad de Madrid, España",locality
Madrid,madrid,37,Mujer,35–44,Piso,Turno Rotativo,Media,2–5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Orgaz,toledo,24,Mujer,18–24,Piso,Jornada Completa,Baja,>5h,perro,no,Joven urbano,Sí,39.6475279,-3.8748671,POINT(-3.8748671 39.6475279),"Orgaz, Toledo, Castilla-La Mancha, España",locality
Madrid,madrid,31,Mujer,25–34,Piso,Jornada Parcial (Tarde),Media,2–5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Getafe,madrid,25,Hombre,25–34,Piso,Jornada Completa,Media,2–5h,perro,no,Joven urbano,Sí,40.3070639,-3.7331808,POINT(-3.7331808 40.3070639),"Getafe, Comunidad de Madrid, España",locality
Madrid,madrid,35,Hombre,35–44,Piso,Jornada Completa,Alta,2–5h,gato,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Talavera De La Reina,toledo,32,Mujer,25–34,Atico,Sin Empleo,Media,2–5h,perro,no,Adulto experimentado,Sí,39.9603798,-4.8311717,POINT(-4.8311717 39.9603798),"Talavera de la Reina, Toledo, Castilla-La Mancha, España",locality
Madrid,madrid,25,Mujer,25–34,Piso,Jornada Completa,Alta,2–5h,perro,no,Joven urbano,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Madrid,madrid,34,Mujer,25–34,Vivienda compartida,Jornada Parcial (Manana),Media,2–5h,gato,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Madrid,madrid,33,Hombre,25–34,Piso,Jornada Parcial (Tarde),Baja,>5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Torrejon Del Rey,guadalajara,54,Mujer,45–54,Piso,Turno Rotativo,Alta,2–5h,perro,si,No apto,No,40.6449395,-3.336053,POINT(-3.336053 40.6449395),"Torrejón del Rey, Guadalajara, Castilla-La Mancha, 19174, España",locality
Madrid,madrid,26,Hombre,25–34,Casa/Chalet,Jornada Parcial (Manana),Baja,2–5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Barcelona,barcelona,24,Hombre,18–24,Casa/Chalet,Jornada Completa,Media,2–5h,perro,no,Adulto experimentado,Sí,41.3825802,2.177073,POINT(2.177073 41.3825802),"Barcelona, Barcelonés, Barcelona, Cataluña, España",locality
Madrid,madrid,29,Mujer,25–34,Atico,Jornada Parcial (Manana),Media,>5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Valdemoro,madrid,32,Mujer,25–34,Piso,Sin Empleo,Baja,2–5h,perro,no,Adulto experimentado,Sí,40.1888604,-3.67143,POINT(-3.67143 40.1888604),"Valdemoro, Comunidad de Madrid, España",locality
Madrid,madrid,27,Hombre,25–34,Vivienda compartida,Jornada Completa,Media,2–5h,perro,no,Joven urbano,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Numancia De La Sagra,toledo,29,Mujer,25–34,Piso,Jornada Completa,Media,>5h,perro,no,Joven urbano,Sí,40.0785096,-3.8569693,POINT(-3.8569693 40.0785096),"Numancia de la Sagra, Toledo, Castilla-La Mancha, 45230, España",locality
Bargas,toledo,48,Mujer,45–54,Vivienda compartida,Jornada Parcial (Tarde),Baja,2–5h,perro,si,No apto,No,39.9393212,-4.0201526,POINT(-4.0201526 39.9393212),"Bargas, Toledo, Castilla-La Mancha, 45593, España",locality
Madrid,madrid,38,Hombre,35–44,Piso,Turno Rotativo,Media,2–5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Madrid,madrid,33,Hombre,25–34,Casa/Chalet,Sin Empleo,Alta,2–5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Madrid,madrid,34,Mujer,25–34,Casa/Chalet,Jornada Completa,Alta,2–5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Toledo,toledo,43,Hombre,35–44,Atico,Jornada Completa,Alta,<1–2h,perro,no,Adulto experimentado,Sí,39.8560679,-4.0239568,POINT(-4.0239568 39.8560679),"Toledo, Castilla-La Mancha, España",locality
Mostoles,madrid,24,Hombre,18–24,Piso,Turno Rotativo,Baja,2–5h,perro,si,No apto,No,40.3238525,-3.8649214,POINT(-3.8649214 40.3238525),"Móstoles, Comunidad de Madrid, España",locality
Madrid,madrid,28,Hombre,25–34,Casa/Chalet,Jornada Parcial (Tarde),Media,2–5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Madrid,madrid,52,Hombre,45–54,Piso,Jornada Completa,Alta,>5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Madrid,madrid,39,Mujer,35–44,Piso,Jornada Completa,Media,2–5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Toledo,toledo,28,Mujer,25–34,Piso,Jornada Completa,Baja,<1–2h,perro,si,No apto,No,39.8560679,-4.0239568,POINT(-4.0239568 39.8560679),"Toledo, Castilla-La Mancha, España",locality
Valle De Luena,cantabria,52,Hombre,45–54,Casa/Chalet,Jornada Parcial (Tarde),Baja,2–5h,perro,no,Adulto experimentado,Sí,43.1595664,-4.0878382,POINT(-4.0878382 43.1595664),nan,province
Parla,madrid,26,Hombre,25–34,Piso,Jornada Completa,Media,2–5h,perro,no,Joven urbano,Sí,40.2373952,-3.7718902,POINT(-3.7718902 40.2373952),"Parla, Comunidad de Madrid, España",locality
Alemania,alemania,45,Hombre,45–54,Piso,Jornada Completa,Media,>5h,perro,no,Adulto experimentado,Sí,39.8836314,-4.0332465,POINT(-4.0332465 39.8836314),"Alemania (Esq. Reino Unido), Calle de Alemania, Tres Culturas, Toledo, Castilla-La Mancha, 45005, España",locality
Corral De Almaguer,toledo,57,Hombre,55–64,Casa/Chalet,Jornada Completa,Baja,>5h,perro,no,Adulto experimentado,Sí,39.7607947,-3.168367,POINT(-3.168367 39.7607947),"Corral de Almaguer, Toledo, Castilla-La Mancha, España",locality
Recas,toledo,44,Hombre,35–44,Piso,Jornada Completa,Media,2–5h,perro,no,Adulto experimentado,Sí,40.0531375,-3.9902585,POINT(-3.9902585 40.0531375),"Recas, Toledo, Castilla-La Mancha, 45211, España",locality
Villaviciosa De Odon,madrid,56,Mujer,55–64,Piso,Jornada Completa,Media,2–5h,perro,no,Adulto experimentado,Sí,40.3573787,-3.9002334,POINT(-3.9002334 40.3573787),"Villaviciosa de Odón, Comunidad de Madrid, 28670, España",locality
Venturada,madrid,31,Mujer,25–34,Piso,Jornada Parcial (Tarde),Baja,>5h,perro,no,Adulto experimentado,Sí,40.7985257,-3.6207369,POINT(-3.6207369 40.7985257),"Venturada, Comunidad de Madrid, España",locality
Galapagar,madrid,46,Mujer,45–54,Casa/Chalet,Jornada Completa,Baja,2–5h,perro,no,Adulto experimentado,Sí,40.5774992,-4.0037748,POINT(-4.0037748 40.5774992),"Galapagar, Comunidad de Madrid, España",locality
Sesena,toledo,44,Hombre,35–44,Piso,Jornada Parcial (Tarde),Media,2–5h,perro,no,Adulto experimentado,Sí,40.1048269,-3.6963093,POINT(-3.6963093 40.1048269),"Seseña, Toledo, Castilla-La Mancha, España",locality
Madrid,madrid,27,Hombre,25–34,Piso,Jornada Completa,Media,<1–2h,perro,si,No apto,No,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Valladolid,valladolid,20,Mujer,18–24,Piso,Jornada Completa,Media,2–5h,perro,si,No apto,No,41.6521807,-4.728605,POINT(-4.728605 41.6521807),"Valladolid, Castilla y León, España",locality
Madrid,madrid,29,Mujer,25–34,Piso,Jornada Completa,Media,2–5h,perro,no,Joven urbano,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Alemania,alemania,34,Mujer,25–34,Vivienda compartida,Jornada Completa,Media,>5h,perro,no,Adulto experimentado,Sí,39.8836314,-4.0332465,POINT(-4.0332465 39.8836314),"Alemania (Esq. Reino Unido), Calle de Alemania, Tres Culturas, Toledo, Castilla-La Mancha, 45005, España",locality
Alemania,alemania,39,Hombre,35–44,Casa/Chalet,Jornada Completa,Baja,<1–2h,perro,no,No apto,No,39.8836314,-4.0332465,POINT(-4.0332465 39.8836314),"Alemania (Esq. Reino Unido), Calle de Alemania, Tres Culturas, Toledo, Castilla-La Mancha, 45005, España",locality
Bizkaia,pais vazco,33,Hombre,25–34,Casa/Chalet,Jornada Completa,Media,2–5h,perro,no,Adulto experimentado,Sí,,,nan,nan,locality
San Agustin Del Guadalix,madrid,41,Mujer,35–44,Piso,Jornada Parcial (Tarde),Baja,2–5h,perro,no,Adulto experimentado,Sí,40.6793548,-3.6160273,POINT(-3.6160273 40.6793548),"San Agustín del Guadalix, Comunidad de Madrid, España",locality
Leganes,madrid,36,Mujer,35–44,Casa/Chalet,Jornada Completa,Media,2–5h,perro,no,Adulto experimentado,Sí,40.3281942,-3.76527,POINT(-3.76527 40.3281942),"Leganés, Comunidad de Madrid, España",locality
Yunclillos,toledo,26,Hombre,25–34,Piso,Jornada Completa,Media,2–5h,perro,no,Joven urbano,Sí,40.0212332,-3.990001,POINT(-3.990001 40.0212332),"Yunclillos, Toledo, Castilla-La Mancha, España",locality
Boadilla Del Monte,madrid,29,Mujer,25–34,Casa/Chalet,Jornada Completa,Baja,2–5h,perro,no,Adulto experimentado,Sí,40.4053485,-3.8764663,POINT(-3.8764663 40.4053485),"Boadilla del Monte, Comunidad de Madrid, España",locality
Alicante,alicante,41,Hombre,35–44,Vivienda compartida,Jornada Completa,Baja,>5h,perro,no,Adulto experimentado,Sí,38.3436365,-0.4881708,POINT(-0.4881708 38.3436365),"Alicante, El Alacantí, Alicante, Comunidad Valenciana, España",locality
Alcorcon,madrid,26,Mujer,25–34,Atico,Jornada Completa,Media,2–5h,perro,no,Adulto experimentado,Sí,40.3492998,-3.8284295,POINT(-3.8284295 40.3492998),"Alcorcón, Comunidad de Madrid, España",locality
Leganes,madrid,29,Hombre,25–34,Piso,Jornada Completa,Media,2–5h,perro,no,Joven urbano,Sí,40.3281942,-3.76527,POINT(-3.76527 40.3281942),"Leganés, Comunidad de Madrid, España",locality
Madrid,madrid,25,Hombre,25–34,Piso,Jornada Completa,Media,2–5h,perro,no,Joven urbano,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Coslada,madrid,26,Mujer,25–34,Casa/Chalet,Jornada Completa,Alta,2–5h,perro,no,Adulto experimentado,Sí,40.423802,-3.5552882,POINT(-3.5552882 40.423802),"Coslada, Comunidad de Madrid, España",locality
Coslada,madrid,30,Mujer,25–34,Atico,Turno Rotativo,Alta,2–5h,perro,si,No apto,No,40.423802,-3.5552882,POINT(-3.5552882 40.423802),"Coslada, Comunidad de Madrid, España",locality
Fuenlabrada,madrid,28,Mujer,25–34,Piso,Jornada Parcial (Tarde),Media,2–5h,perro,no,Joven urbano,Sí,40.282476,-3.7923422,POINT(-3.7923422 40.282476),"Fuenlabrada, Comunidad de Madrid, España",locality
Arganda Del Rey,madrid,20,Hombre,18–24,Piso,Jornada Completa,Media,<1–2h,perro,no,Adulto experimentado,Sí,40.3007708,-3.4380688,POINT(-3.4380688 40.3007708),"Arganda del Rey, Comunidad de Madrid, 28500, España",locality
Madrid,madrid,30,Mujer,25–34,Casa/Chalet,Turno Rotativo,Media,2–5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Vallecas,madrid,44,Hombre,35–44,Piso,Jornada Parcial (Manana),Media,2–5h,perro,no,Adulto experimentado,Sí,40.3868601,-3.6591803,POINT(-3.6591803 40.3868601),"Puente de Vallecas, Madrid, Comunidad de Madrid, España",locality
Puebla De Almoradiel,toledo,51,Hombre,45–54,Vivienda compartida,Jornada Parcial (Manana),Media,>5h,perro,no,Adulto experimentado,Sí,39.5982659,-3.1186131,POINT(-3.1186131 39.5982659),"La Puebla de Almoradiel, Toledo, Castilla-La Mancha, 45840, España",locality
Torrejon De La Calzada,madrid,40,Mujer,35–44,Piso,Jornada Completa,Baja,2–5h,perro,no,Adulto experimentado,Sí,40.2006804,-3.7993298,POINT(-3.7993298 40.2006804),"Torrejón de la Calzada, Comunidad de Madrid, 28991, España",locality
Madrid,madrid,33,Mujer,25–34,Piso,Jornada Completa,Media,>5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Toledo,toledo,30,Hombre,25–34,Casa/Chalet,Turno Rotativo,Baja,>5h,perro,no,Adulto experimentado,Sí,39.8560679,-4.0239568,POINT(-4.0239568 39.8560679),"Toledo, Castilla-La Mancha, España",locality
Madrid,madrid,27,Mujer,25–34,Piso,Jornada Completa,Media,2–5h,perro,no,Joven urbano,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
San Martin De La Vega,madrid,28,Mujer,25–34,Piso,Sin Empleo,Media,<1–2h,perro,no,Adulto experimentado,Sí,40.2110462,-3.5771806,POINT(-3.5771806 40.2110462),"San Martín de la Vega, Comunidad de Madrid, 28330, España",locality
Santa Cruz De Tenerife,tenerife,20,Hombre,18–24,Atico,Jornada Completa,Media,2–5h,perro,no,Adulto experimentado,Sí,28.467178,-16.2507843,POINT(-16.2507843 28.467178),"Santa Cruz de Tenerife, Canarias, España",locality
Madrid,madrid,49,Mujer,45–54,Piso,Jornada Parcial (Manana),Media,2–5h,perro,si,No apto,No,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Madrid,madrid,44,Hombre,35–44,Casa/Chalet,Jornada Completa,Media,2–5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Burujon,toledo,53,Mujer,45–54,Casa/Chalet,Jornada Completa,Media,>5h,perro,no,Adulto experimentado,Sí,39.901105,-4.2981451,POINT(-4.2981451 39.901105),"Burujón, Toledo, Castilla-La Mancha, España",locality
Fuenlabrada,madrid,42,Mujer,35–44,Piso,Jornada Completa,Baja,2–5h,perro,no,Adulto experimentado,Sí,40.282476,-3.7923422,POINT(-3.7923422 40.282476),"Fuenlabrada, Comunidad de Madrid, España",locality
Ontinyent,valencia,56,Hombre,55–64,Casa/Chalet,Turno Rotativo,Media,2–5h,perro,si,No apto,No,38.8208523,-0.6099929,POINT(-0.6099929 38.8208523),"Onteniente, La Vall d'Albaida, Valencia, Comunidad Valenciana, 46870, España",locality
Oviedo,asturias,42,Mujer,35–44,Casa/Chalet,Jornada Completa,Media,2–5h,perro,no,Adulto experimentado,Sí,43.3618625,-5.8483581,POINT(-5.8483581 43.3618625),"Oviedo, Asturias, España",locality
